parametro,categoria,min_campione,media_campione,max_campione,nominale,min_dichiarato,max_dichiarato,media_dichiarata,ks_p,fuori_supporto
e_battery_Wh_per_kg,dichiarata,137.87027389869726,219.99985253900746,297.5406071996212,300.0,135.0,300.0,220.0,1.0,False
fuel_cell_specific_power_kW_per_kg,dichiarata,1.0114414508835885,1.499990140472775,1.9865802875514813,2.0,1.0,2.0,1.5,1.0,False
eta_fuel_cell,dichiarata,0.4534718544442552,0.5500013976793469,0.6472984417495241,0.6,0.45,0.65,0.55,1.0,False
gamma_tank,dichiarata,0.4714820677579222,0.5166691247066683,0.579672376573408,0.5,0.47,0.58,0.5166666666666666,1.0,False
hydrogen_empty_weight_multiplier,derivata,1.1047249626594595,1.110102290206286,1.1139590055168613,1.1,1.1046969999999998,1.1140854999999998,,,False
electricity,dichiarata,0.8300070890084558,0.8549999139428479,0.8799896077456205,0.85,0.82,0.8799999999999999,0.85,5.886840841370475e-37,False
liquid_hydrogen,dichiarata,0.4207815984580427,0.450000211979741,0.4694826054825467,0.46,0.42,0.47,0.45,1.0,False
e_saf,dichiarata,0.21061587617667946,0.25671366477699775,0.29871672366002083,0.26,0.21,0.3,0.25666666666666665,0.8767008230308216,False
eta_motor,dichiarata,0.8568586073766246,0.9263616536449126,0.9850794909597689,0.9,0.85,0.99,0.9263636363636364,1.0,False
eta_p_propeller,dichiarata,0.8051281576647253,0.8499989920289779,0.8941190367448325,0.85,0.8,0.9,0.8500000000000001,1.0,False
eta_p_fan,dichiarata,0.7067561660892714,0.7500018596899293,0.7953785958679456,0.75,0.7,0.8,0.75,1.0,False
oew_fan_b,dichiarata,0.27866788635627504,0.44798189692313223,0.5014030037948517,0.466,0.20906281352423745,0.5057882991529535,0.4479766671568228,1.0,False
oew_fan_r_pivot,dichiarata,0.5315005187132689,0.5603600162342309,0.5891326871980598,0.55277,0.52556,0.5951599999999999,0.56036,1.0,False
oew_prop_b,dichiarata,0.698331435120252,0.778900541614424,0.8091445034584589,0.8564,0.659149209772854,0.8106940015319971,0.7788933900899595,1.0,False
oew_prop_r_pivot,dichiarata,0.5763797216091543,0.5971197798835904,0.6176686421471429,0.59474,0.5716,0.62264,0.59712,1.0,False
oew_fan_c,derivata,0.5689195888963204,0.6477072653953554,0.7216605604863153,0.6553,0.5491848898118037,0.737850703836362,0.6476670323751632,,False
oew_prop_c,derivata,0.6241798479843508,0.6684906037165692,0.7002308156740908,0.7493,0.6097649241138461,0.7107862661557659,0.6684816493452748,,False
pax_weight_kg,empirica,75.01211763517162,77.6892737913593,81.6246638468825,,,,,,False
fan_pressure_ratio,empirica,1.3000653844852736,1.3621719778484298,1.5389736518942818,,,,,,False
fan_scaling_mach_ref,empirica,0.7800215482200865,0.7914960200045743,0.82829952737079,,,,,,False
propeller_curve_peak_mach,empirica,0.4508954985369778,0.5296829963462666,0.5988727903789768,,,,,,False
propeller_curve_rise_rate,empirica,6.077210101862889,10.809570333503586,19.98161015555906,,,,,,False
propeller_curve_decay_width,empirica,0.0200447251690882,0.05044648711223501,0.0795404371448364,,,,,,False
