sample_idx,cost,theta_pax_weight_kg,theta_fan_pressure_ratio,theta_fan_scaling_mach_ref,theta_propeller_curve_peak_mach,theta_propeller_curve_rise_rate,theta_propeller_curve_decay_width
8840,0.8138215873724644,75.40263074266014,1.3042541388685984,0.7810812792675248,0.4910240734202729,7.435319857917413,0.0251555001322326
6399,0.8289899751282441,75.30823542152436,1.3308011711237837,0.7894351562275294,0.5462842417459053,6.844043117543101,0.0727585567458188
4811,0.8412062564250491,75.89612442203033,1.3217808947297978,0.7858017905263356,0.5963275869456452,8.29053116473103,0.0217073269697234
7520,0.8427255968033139,75.65547398464467,1.3234237994659166,0.7927516973013743,0.4663413727500158,7.956511181904258,0.0485771878572564
5347,0.8437806752458323,77.33928113451252,1.3114570894032131,0.7851019129704446,0.5988727903789768,7.836256460068876,0.0393825159540454
2301,0.8472606262123276,75.30344551511062,1.3000653844852736,0.8103818180780357,0.568338524792074,7.367536927595431,0.0520464520349341
8168,0.8478167376438367,76.11476021075599,1.3881574659393263,0.7854009938271996,0.5761768729215487,7.408014202936669,0.0445919418352766
7442,0.8508263744702838,75.07327325977633,1.325664125266529,0.8007550604198794,0.4998329017837962,7.894911980623817,0.0407057250185584
7868,0.8513949381559487,76.56495405429776,1.3058942260509157,0.7837606691114763,0.5073292612683262,9.020837239194162,0.0563594253694949
6921,0.857851155199802,76.47098219174866,1.375888559224226,0.790298136540998,0.4632153258275786,7.478875365547102,0.0773267682500436
361,0.8611460296605342,77.24911229177408,1.308322564593711,0.798804183470554,0.5726030887010418,8.011033976068425,0.0626980003929515
2903,0.8631769027590366,77.21030941797876,1.3003753473683015,0.8008308617392698,0.5944707338087998,8.253901042737741,0.0774473850013129
3547,0.8643099523037967,75.0981749740178,1.41800244639414,0.7883052533451218,0.5546882276512344,8.048191457924942,0.0655236975927522
2563,0.864553328115806,75.62510658446557,1.324010780200033,0.8044235470012265,0.5283585514878589,6.5567488415512445,0.0491800557520936
6780,0.8647259075182776,77.48689575766855,1.3963130957311531,0.7809830275650785,0.4936656033885532,8.173527175983338,0.0257901379520559
5414,0.867703963677799,76.85727749649759,1.3106632577969624,0.7914168180994684,0.4918559191316313,9.309608812551517,0.0633159044633138
7019,0.8691118490420584,75.70244680030032,1.4550145003522426,0.7845185815769101,0.5916918290205201,6.659990890440508,0.0657250644202974
1069,0.8706078119126974,75.5429493393454,1.4367490755233192,0.7913402762173376,0.594522892291474,7.482420653954703,0.044306172656485
3848,0.8725526815698,75.48451805522852,1.3139886557053684,0.8039643065193176,0.5314055880521946,8.755266269366018,0.0580390577161729
5064,0.8728261088068268,77.82747213505746,1.3369073300522087,0.7948298117928054,0.5061946581678938,7.635915888697211,0.0640373373595698
8058,0.8730495274270977,75.13367788260146,1.3433592891359594,0.8051183216710357,0.5211454126349384,6.40110502799921,0.0764163560741931
654,0.87337904251796,77.65917278950468,1.3186214675224115,0.797869669072196,0.525813984384699,7.164501739268172,0.0495244186901991
8794,0.8742775512662166,76.4312680201096,1.3974830909017748,0.7928050755391794,0.5039140098670949,7.923573977662077,0.0213799805714315
6731,0.8745931234824965,76.99530842938027,1.3009349267834571,0.7852910579739512,0.4675847734653394,10.47238040596434,0.0572341132859441
2538,0.8747993599315294,76.39629085261511,1.3492305158387052,0.7892981863071942,0.5946761030084227,9.28250894239526,0.0695195579268554
6167,0.8769770443855633,77.93778577625753,1.3302571852407603,0.7910609101666676,0.5019174737070505,9.100292770129988,0.0397849728265704
6873,0.8770390045752432,76.25665967632133,1.3199785313128187,0.7802114946395847,0.5213645171820797,6.202811978783275,0.0674986025351635
8718,0.8772439423230132,75.3173014017236,1.5098731435711543,0.7852346313184214,0.5464653268349252,6.7889149150829695,0.0240719604501122
4196,0.8777276128822028,77.27038429882242,1.3160611290407782,0.7940224690966746,0.5723422704598276,9.50779330843806,0.0230509152393455
8550,0.878935812497724,75.89282580072091,1.394231930028068,0.7845745373142405,0.4619764077215559,9.259377684845196,0.0634330732158177
2020,0.8801365782407815,76.52885337400646,1.302197251482221,0.7964858689559833,0.4774009006143808,9.889864257315612,0.0529445934297263
2639,0.8801803810172733,78.40550159089041,1.300310728421553,0.793388491060396,0.5518083507418031,9.637007215746172,0.0737561709005901
7184,0.8808737942409696,78.42428905758618,1.4015424546941937,0.7803913054512055,0.5503142880130316,8.677097606051689,0.0519764002065659
9618,0.8810290260422027,79.57978298917936,1.326848633318795,0.7834367157400777,0.577207111806135,8.547797533479365,0.0694354621947226
5727,0.8812511518820566,75.96977643282061,1.359008572852454,0.7844184725481215,0.4544121343872031,6.221795662902014,0.0564759609140471
7535,0.8813768150551204,75.81274864932145,1.4265738367597454,0.7872605518193998,0.5817479778105693,6.438099875877495,0.0215117475097551
7017,0.8819737243582092,75.38623926190307,1.301428711131251,0.8154590143137669,0.5766508323319373,8.614334581977655,0.0522894646049383
5654,0.8823117488751175,77.3278466897729,1.3715110229561709,0.7934478615144978,0.5009646837484312,7.026876837743887,0.0552691681092973
8395,0.8826310184925366,78.19503570047246,1.329742813429649,0.7971588583838416,0.503200401539983,7.439977462318412,0.0388609042478558
7415,0.8827358787719379,76.6353747676734,1.316764863664988,0.8025241480515828,0.5724335610558323,9.160655288013952,0.0202277393703
9793,0.8834244243503779,78.71401733606336,1.3268995909112573,0.7941655814062385,0.5444378534031435,7.759825095310437,0.0608681723770527
7411,0.8858260065135639,77.58610309751826,1.418551771086374,0.7856001768397526,0.5149546565902084,8.557752916887738,0.020639344128509
2042,0.8859719908512625,76.9870546906332,1.3633134346935754,0.7983160407311203,0.5832828985892747,8.490501481356691,0.0744641448563539
1566,0.8860920276373507,79.43538440375107,1.3503367816852023,0.7826844169012767,0.5151753375148871,7.8787688495756125,0.0202570199433206
9449,0.8861201967242529,77.05010562301693,1.3599292363106106,0.7820484502799994,0.5181837697665335,10.506879292407046,0.0634880007896628
8071,0.8862416423736055,77.2667755139686,1.372728858171942,0.7811195214014689,0.4720923228047384,10.333782785855227,0.0379900470535226
2120,0.8869816853601975,78.20248420963857,1.3804830430651989,0.7842086708177208,0.4656322827925065,7.055243206686771,0.041015166645974
2457,0.8870756830896507,77.16625388244474,1.3683153954453493,0.7863218621171079,0.5969456272116707,9.860806939385954,0.0763385897772913
1805,0.8881407086770761,79.00707097126504,1.3318295194199532,0.7808960265471658,0.4578596975190381,10.856093006229113,0.0439813009282657
7117,0.8882501056248324,78.23021130579727,1.361091032439076,0.7858216731828193,0.5853329012359907,9.74564586465402,0.0675055976287675
9797,0.8884913077991445,78.30494484797624,1.3224121670727462,0.7845590029694585,0.4582975124983037,11.082564408005553,0.0416222827497421
5409,0.8890260244793818,77.40547681670714,1.4467558106982783,0.7856951960059283,0.4637542521652489,8.18819627291192,0.063354186174118
5043,0.8915078706792792,77.34170621536971,1.4612608212975906,0.7863633772803411,0.5692134405244254,7.681867707472032,0.0691362713830996
8432,0.891689944264301,77.28377660979562,1.3033756522876263,0.7970431874428364,0.5526537758893146,10.599073095769784,0.0742524388753848
5701,0.891724874626527,79.04584080877652,1.3006086587560244,0.8015215674838034,0.4682436586915314,8.845940648641237,0.0429247496359763
1322,0.8919487408445442,79.58252518350884,1.3416352841872916,0.782769755371658,0.4730602789145096,9.953329552073138,0.0280575363215866
8635,0.8919581035828459,76.20518489617365,1.4732609995086754,0.7834117287275887,0.581647942862479,8.830523423961838,0.0498073263743163
7849,0.8922781203829269,79.46556396435726,1.3797956432515923,0.782119800433445,0.4640641429528589,8.207607771816324,0.0771357307180873
