output,fattore,mu,mu_star,sigma,n_ee,scala,mu_star_n,sigma_n,distanza,soglia,selezionato
E[Battery-electric]@20nmi_250kt_propeller,calibration_block,-5.8637798747747745,5.871541992808158,20.58358764774887,19,9.276118480609176,0.6329740187215208,2.218987143251443,2.3075008234650043,0.36568464171850623,True
E[Battery-electric]@20nmi_250kt_propeller,e_battery_Wh_per_kg,-9.276118480609176,9.276118480609176,17.117333833062176,15,9.276118480609176,1.0,1.8453121172227693,2.098851307255752,0.36568464171850623,True
E[Battery-electric]@20nmi_250kt_propeller,eta_p_propeller,-5.23558177350337,5.23558177350337,8.81061853406887,17,9.276118480609176,0.5644151467499952,0.9498173780861696,1.1048608553095292,0.36568464171850623,True
E[Battery-electric]@20nmi_250kt_propeller,electricity,-0.25828444014291724,0.25828444014291724,0.34081029812132024,17,9.276118480609176,0.02784402125553223,0.036740615035669395,0.04609948278319169,0.36568464171850623,False
E[Battery-electric]@20nmi_250kt_propeller,fuel_cell_specific_power_kW_per_kg,0.0,0.0,0.0,16,9.276118480609176,0.0,0.0,0.0,0.36568464171850623,False
E[Battery-electric]@20nmi_250kt_propeller,eta_fuel_cell,0.0,0.0,0.0,16,9.276118480609176,0.0,0.0,0.0,0.36568464171850623,False
E[Battery-electric]@20nmi_250kt_propeller,gamma_tank,0.0,0.0,0.0,18,9.276118480609176,0.0,0.0,0.0,0.36568464171850623,False
E[Battery-electric]@20nmi_250kt_propeller,liquid_hydrogen,0.0,0.0,0.0,17,9.276118480609176,0.0,0.0,0.0,0.36568464171850623,False
E[Battery-electric]@20nmi_250kt_propeller,e_saf,0.0,0.0,0.0,17,9.276118480609176,0.0,0.0,0.0,0.36568464171850623,False
E[Battery-electric]@20nmi_250kt_propeller,eta_p_fan,0.0,0.0,0.0,19,9.276118480609176,0.0,0.0,0.0,0.36568464171850623,False
E[Battery-electric]@20nmi_250kt_propeller,oew_fan_b,0.0,0.0,0.0,16,9.276118480609176,0.0,0.0,0.0,0.36568464171850623,False
E[Battery-electric]@20nmi_250kt_propeller,oew_fan_r_pivot,0.0,0.0,0.0,17,9.276118480609176,0.0,0.0,0.0,0.36568464171850623,False
E[Battery-electric]@20nmi_250kt_propeller,oew_prop_b,0.0,0.0,0.0,17,9.276118480609176,0.0,0.0,0.0,0.36568464171850623,False
E[Battery-electric]@20nmi_250kt_propeller,oew_prop_r_pivot,0.0,0.0,0.0,15,9.276118480609176,0.0,0.0,0.0,0.36568464171850623,False
E[Battery-electric]@5nmi_300kt_fan,e_battery_Wh_per_kg,-18.1918271345094,18.1918271345094,16.182621934614023,12,18.1918271345094,1.0,0.8895545134065193,1.3383972625203286,0.13383972625203286,True
E[Battery-electric]@5nmi_300kt_fan,eta_p_fan,-12.425475212417894,12.425475212417894,19.578613759737454,18,18.1918271345094,0.6830251365376657,1.0762312996366021,1.2746753106025812,0.13383972625203286,True
E[Battery-electric]@5nmi_300kt_fan,eta_motor,-7.464369411469282,7.464369411469282,12.082482214597656,16,18.1918271345094,0.4103144426493355,0.6641709007710126,0.7806925946091797,0.13383972625203286,True
E[Battery-electric]@5nmi_300kt_fan,calibration_block,4.469541090000849,4.469541090000849,12.349644300303853,18,18.1918271345094,0.24568950974266085,0.6788567310469279,0.7219486106956021,0.13383972625203286,True
E[Battery-electric]@5nmi_300kt_fan,electricity,-0.4978291868654824,0.4978291868654824,0.48029947791042354,17,18.1918271345094,0.027365540755448035,0.026401937219341125,0.03802545344597639,0.13383972625203286,False
E[Battery-electric]@5nmi_300kt_fan,fuel_cell_specific_power_kW_per_kg,0.0,0.0,0.0,15,18.1918271345094,0.0,0.0,0.0,0.13383972625203286,False
E[Battery-electric]@5nmi_300kt_fan,eta_fuel_cell,0.0,0.0,0.0,15,18.1918271345094,0.0,0.0,0.0,0.13383972625203286,False
E[Battery-electric]@5nmi_300kt_fan,gamma_tank,0.0,0.0,0.0,18,18.1918271345094,0.0,0.0,0.0,0.13383972625203286,False
E[Battery-electric]@5nmi_300kt_fan,liquid_hydrogen,0.0,0.0,0.0,17,18.1918271345094,0.0,0.0,0.0,0.13383972625203286,False
E[Battery-electric]@5nmi_300kt_fan,e_saf,0.0,0.0,0.0,17,18.1918271345094,0.0,0.0,0.0,0.13383972625203286,False
E[Battery-electric]@5nmi_300kt_fan,eta_p_propeller,0.0,0.0,0.0,17,18.1918271345094,0.0,0.0,0.0,0.13383972625203286,False
E[Battery-electric]@5nmi_300kt_fan,oew_fan_b,0.0,0.0,0.0,16,18.1918271345094,0.0,0.0,0.0,0.13383972625203286,False
E[Battery-electric]@5nmi_300kt_fan,oew_fan_r_pivot,0.0,0.0,0.0,17,18.1918271345094,0.0,0.0,0.0,0.13383972625203286,False
E[Battery-electric]@5nmi_300kt_fan,oew_prop_b,0.0,0.0,0.0,16,18.1918271345094,0.0,0.0,0.0,0.13383972625203286,False
E[Battery-electric]@5nmi_300kt_fan,oew_prop_r_pivot,0.0,0.0,0.0,15,18.1918271345094,0.0,0.0,0.0,0.13383972625203286,False
E[Hydrogen combustion]@100nmi_350kt_fan,oew_fan_b,1.5174278740486589,1.5174278740486589,0.3859371277740553,20,1.5174278740486589,1.0,0.2543363901338744,1.0318367115713272,0.10318367115713273,True
E[Hydrogen combustion]@100nmi_350kt_fan,oew_fan_r_pivot,0.7434794973543962,0.7434794973543962,0.3862041385727055,20,1.5174278740486589,0.48996035335156585,0.2545123528950815,0.5521210787794484,0.10318367115713273,True
E[Hydrogen combustion]@100nmi_350kt_fan,liquid_hydrogen,-0.4959629728583641,0.4959629728583641,0.1615170972666373,20,1.5174278740486589,0.3268445119141526,0.10644136701910747,0.3437398719690472,0.10318367115713273,True
E[Hydrogen combustion]@100nmi_350kt_fan,calibration_block,0.17677548432408507,0.17678595531645985,0.20337870068877834,20,1.5174278740486589,0.11650369572082273,0.1340285783377251,0.17758595363328084,0.10318367115713273,True
E[Hydrogen combustion]@100nmi_350kt_fan,gamma_tank,-0.1657780955533703,0.1657780955533703,0.056247662299382994,20,1.5174278740486589,0.10924940709772038,0.037067766620965156,0.11536659947085974,0.10318367115713273,True
E[Hydrogen combustion]@100nmi_350kt_fan,e_battery_Wh_per_kg,0.0,0.0,0.0,20,1.5174278740486589,0.0,0.0,0.0,0.10318367115713273,False
E[Hydrogen combustion]@100nmi_350kt_fan,fuel_cell_specific_power_kW_per_kg,0.0,0.0,0.0,20,1.5174278740486589,0.0,0.0,0.0,0.10318367115713273,False
E[Hydrogen combustion]@100nmi_350kt_fan,eta_fuel_cell,0.0,0.0,0.0,20,1.5174278740486589,0.0,0.0,0.0,0.10318367115713273,False
