output,fattore,S1,S1_lo,S1_hi,ST,ST_lo,ST_hi,interazione,n_valid,frazione_valida,N,trasformazione
E[Battery-electric]@20nmi_250kt_propeller,gamma_tank,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1485,0.72509765625,2048,log
E[Battery-electric]@20nmi_250kt_propeller,resto,0.011776030179513706,-0.006691369286125159,0.03170169478384751,0.08188381873508503,0.06762995773814376,0.09721716708446729,0.07010778855557133,1464,0.71484375,2048,log
E[Battery-electric]@5nmi_300kt_fan,oew_fan_b,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1316,0.642578125,2048,log
E[Battery-electric]@5nmi_300kt_fan,oew_fan_r_pivot,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1316,0.642578125,2048,log
E[Battery-electric]@5nmi_300kt_fan,eta_motor,0.0515795532997683,0.024684875775262283,0.07465248090980475,0.1338865916606673,0.11386664046083372,0.15483266634839735,0.082307038360899,1287,0.62841796875,2048,log
E[Battery-electric]@5nmi_300kt_fan,calibration_block,0.004810388163894244,-0.008903759661264577,0.018962553105061484,0.03216210952464951,0.023237907890867642,0.040459867627608094,0.02735172136075527,1303,0.63623046875,2048,log
E[Battery-electric]@5nmi_300kt_fan,e_battery_Wh_per_kg,0.7335688390358021,0.6584079695251527,0.8177868097209045,0.9481283138951213,0.8795284142424233,1.0425582897600265,0.21455947485931925,1269,0.61962890625,2048,log
E[Battery-electric]@5nmi_300kt_fan,fuel_cell_specific_power_kW_per_kg,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1316,0.642578125,2048,log
E[Battery-electric]@5nmi_300kt_fan,eta_fuel_cell,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1316,0.642578125,2048,log
E[Battery-electric]@5nmi_300kt_fan,liquid_hydrogen,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1316,0.642578125,2048,log
E[Battery-electric]@5nmi_300kt_fan,e_saf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1316,0.642578125,2048,log
E[Battery-electric]@5nmi_300kt_fan,gamma_tank,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1316,0.642578125,2048,log
E[Battery-electric]@5nmi_300kt_fan,resto,0.04150494996393144,0.02232510527018002,0.06008901404294261,0.0905456071540075,0.07523313412901604,0.1052897702524,0.04904065719007606,1285,0.62744140625,2048,log
E[Hydrogen fuel cell]@100nmi_200kt_propeller,oew_fan_b,0.06531009984032353,0.0469512720010217,0.081973085196751,0.07336850241820399,0.06748966862282041,0.07995737583342122,0.008058402577880458,2048,1.0,2048,log
E[Hydrogen fuel cell]@100nmi_200kt_propeller,oew_fan_r_pivot,0.019736248119366043,0.010341066865583915,0.028902427906935185,0.022647988701009324,0.020699993859171515,0.024789372506599155,0.0029117405816432816,2048,1.0,2048,log
E[Hydrogen fuel cell]@100nmi_200kt_propeller,eta_motor,0.10937861350584242,0.08862976608355005,0.1303617777980113,0.1075397739592088,0.10141357037204947,0.11559210319878818,-0.0018388395466336221,2048,1.0,2048,log
E[Hydrogen fuel cell]@100nmi_200kt_propeller,calibration_block,0.07752845821163507,0.060841001395206006,0.09420499771814042,0.07657615863205265,0.07249815930803599,0.08176375789140773,-0.0009522995795824135,2048,1.0,2048,log
E[Hydrogen fuel cell]@100nmi_200kt_propeller,e_battery_Wh_per_kg,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2048,1.0,2048,log
E[Hydrogen fuel cell]@100nmi_200kt_propeller,fuel_cell_specific_power_kW_per_kg,0.25314399893837264,0.22031519719127837,0.27920400263897943,0.24842228758175486,0.233079108547135,0.2669782291848765,-0.00472171135661778,2048,1.0,2048,log
E[Hydrogen fuel cell]@100nmi_200kt_propeller,eta_fuel_cell,0.40836836753407446,0.3685044171432679,0.45289898602023526,0.40126097202668676,0.37766588094144177,0.42775229728087794,-0.007107395507387704,2048,1.0,2048,log
E[Hydrogen fuel cell]@100nmi_200kt_propeller,liquid_hydrogen,0.023574232968792897,0.013922550663658695,0.03290591074147554,0.022937684833955342,0.021136513374572174,0.024707839860788963,-0.000636548134837555,2048,1.0,2048,log
E[Hydrogen fuel cell]@100nmi_200kt_propeller,e_saf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2048,1.0,2048,log
E[Hydrogen fuel cell]@100nmi_200kt_propeller,gamma_tank,0.005570577167875701,0.0012257444009458403,0.009622123591917945,0.004866043815032172,0.0045499751996643835,0.00525154851294149,-0.0007045333528435289,2048,1.0,2048,log
E[Hydrogen fuel cell]@100nmi_200kt_propeller,resto,0.04235319147441822,0.02953481985031417,0.05450165445136608,0.044114744191072405,0.04112782968304214,0.047996500660938586,0.001761552716654187,2048,1.0,2048,log
E[Hydrogen fuel cell]@100nmi_300kt_propeller,oew_fan_b,0.034171851382868636,0.02388714982314457,0.046095809265774015,0.029740218952081916,0.02613551906767021,0.03310148571446596,-0.00443163243078672,2031,0.99169921875,2048,log
E[Hydrogen fuel cell]@100nmi_300kt_propeller,oew_fan_r_pivot,0.014842320009090375,0.008087144768883716,0.02142972830175363,0.0124897022388765,0.011027707272897229,0.014248661692565603,-0.002352617770213875,2031,0.99169921875,2048,log
E[Hydrogen fuel cell]@100nmi_300kt_propeller,eta_motor,0.059243855291543926,0.04444926497724771,0.07249824053340102,0.05317719493246851,0.047898806717980184,0.058777325499256614,-0.006066660359075417,2031,0.99169921875,2048,log
E[Hydrogen fuel cell]@100nmi_300kt_propeller,calibration_block,0.568733068585291,0.45537609256319983,0.6697293769078501,0.5573863074130161,0.49913297288497216,0.6232225271197795,-0.011346761172274955,2031,0.99169921875,2048,log
E[Hydrogen fuel cell]@100nmi_300kt_propeller,e_battery_Wh_per_kg,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2031,0.99169921875,2048,log
E[Hydrogen fuel cell]@100nmi_300kt_propeller,fuel_cell_specific_power_kW_per_kg,0.22892440969246666,0.19627165424582127,0.26134050584897156,0.22475817332707296,0.19836200206285406,0.24707385006081153,-0.004166236365393705,2031,0.99169921875,2048,log
E[Hydrogen fuel cell]@100nmi_300kt_propeller,eta_fuel_cell,0.1425542479657849,0.1201498193646947,0.17326501050160595,0.14648200911726644,0.13204777734817202,0.16182032975145197,0.003927761151481551,2031,0.99169921875,2048,log
E[Hydrogen fuel cell]@100nmi_300kt_propeller,liquid_hydrogen,0.004724263812451946,0.00022652135892319258,0.009198065481325658,0.005082012545217522,0.004511282816489332,0.0055971953811806835,0.0003577487327655754,2031,0.99169921875,2048,log
