punto,sistema,P_fattibile,n_fattibili,P_migliore,media,sd,cv,p5,p50,p95
short_low_speed_fan,Battery-electric (fan),0.0,0,0.0,,,,,,
short_low_speed_fan,Hydrogen fuel cell (fan),0.9993333333333333,1499,0.0,67.09596793471853,91.91995377383954,1.369977311651181,17.340877723693847,43.82742691040039,174.94364013671864
short_low_speed_fan,Hydrogen combustion (fan),1.0,1500,1.0,4.934869982083638,0.3502836224321051,0.07098132751295014,4.387235260009765,4.9184510707855225,5.550296378135681
short_low_speed_fan,e-SAF combustion (fan),1.0,1500,0.0,7.414744817733765,0.6562498704704963,0.08850606279813576,6.440067148208618,7.362194776535034,8.58090853691101
short_high_speed_fan,Battery-electric (fan),0.0,0,0.0,,,,,,
short_high_speed_fan,Hydrogen fuel cell (fan),0.9926666666666667,1489,0.0,243.9522166114433,293.33248860005955,1.202417804086884,50.56349868774414,150.8472900390625,719.8593261718748
short_high_speed_fan,Hydrogen combustion (fan),1.0,1500,1.0,4.37236882909139,0.31349350030944806,0.07169877761080698,3.8795771837234496,4.353955507278442,4.922658610343933
short_high_speed_fan,e-SAF combustion (fan),1.0,1500,0.0,6.555340433120728,0.5821438416350317,0.08880451710696237,5.688572382926941,6.516146421432495,7.587628650665283
medium_fan,Battery-electric (fan),0.0,0,0.0,,,,,,
medium_fan,Hydrogen fuel cell (fan),0.976,1464,0.0,68.1267010012611,62.89157303580415,0.9231560036150871,18.695182228088377,45.542314529418945,186.54596633911117
medium_fan,Hydrogen combustion (fan),1.0,1500,1.0,2.449544599056244,0.14200050479420304,0.05797016508656863,2.2265265345573426,2.4459341764450073,2.699521315097809
medium_fan,e-SAF combustion (fan),1.0,1500,0.0,3.6850698183377584,0.306236534541927,0.08310196268684607,3.2303903698921204,3.659904360771179,4.23847188949585
long_fan,Battery-electric (fan),0.0,0,0.0,,,,,,
long_fan,Hydrogen fuel cell (fan),0.8533333333333334,1280,0.0,34.45854554474354,20.450154127238665,0.5934711928187644,12.568737888336182,28.288887977600098,78.66114082336424
long_fan,Hydrogen combustion (fan),1.0,1500,1.0,2.5233070890108746,0.2318766607834216,0.09189395210486102,2.201198089122772,2.4925609827041626,2.94716899394989
long_fan,e-SAF combustion (fan),1.0,1500,0.0,3.8863317778905233,0.39770060829324894,0.1023331591388521,3.315672314167023,3.8472683429718018,4.611900734901428
short_low_speed_propeller,Battery-electric (propeller),0.0006666666666666666,1,0.0,8.509907722473145,,,8.509907722473145,8.509907722473145,8.509907722473145
short_low_speed_propeller,Hydrogen fuel cell (propeller),1.0,1500,0.9186666666666666,5.251070996284485,0.85244604261192,0.16233755803627256,4.079285049438477,5.138327360153198,6.85071759223938
short_low_speed_propeller,Hydrogen combustion (propeller),1.0,1500,0.08133333333333333,6.405874278068542,0.4044307923875226,0.06313436305987946,5.796726155281067,6.371571063995361,7.095228123664856
short_low_speed_propeller,e-SAF combustion (propeller),1.0,1500,0.0,9.347923086166382,0.8413782436324801,0.09000697116107023,8.10625057220459,9.277866840362549,10.841597175598144
short_high_speed_propeller,Battery-electric (propeller),0.0,0,0.0,,,,,,
short_high_speed_propeller,Hydrogen fuel cell (propeller),0.996,1494,0.146,24.10443367664434,326.3399375926007,13.538585555270824,5.121875548362732,7.299959659576416,20.246553897857638
short_high_speed_propeller,Hydrogen combustion (propeller),0.9973333333333333,1496,0.8513333333333334,277.73091222704414,7424.217564443519,26.731693295898747,5.280919075012207,5.783951282501221,11.527322053909302
short_high_speed_propeller,e-SAF combustion (propeller),0.9973333333333333,1496,0.0,378.67673829819427,10080.500799016088,26.620332805016552,7.360261082649231,8.465095043182373,17.219072818756104
medium_propeller,Battery-electric (propeller),0.0,0,0.0,,,,,,
medium_propeller,Hydrogen fuel cell (propeller),1.0,1500,0.242,4.388469165325165,1.030511184199612,0.23482247348165108,3.038341987133026,4.21040940284729,6.27764253616333
medium_propeller,Hydrogen combustion (propeller),1.0,1500,0.758,3.6875787897109986,0.24329652732718465,0.06597730955770363,3.318490719795227,3.6649529933929443,4.101096749305725
medium_propeller,e-SAF combustion (propeller),1.0,1500,0.0,5.507294742266337,0.4930096626587446,0.08951938941547614,4.73779034614563,5.475470542907715,6.375745844841003
long_propeller,Battery-electric (propeller),0.0,0,0.0,,,,,,
long_propeller,Hydrogen fuel cell (propeller),0.998,1497,0.04666666666666667,10.564879598502884,9.330668611735549,0.8831779410962496,4.66386079788208,8.039034843444824,22.277607727050782
long_propeller,Hydrogen combustion (propeller),1.0,1500,0.9533333333333334,5.27726566251119,0.9691486735468721,0.18364598932957682,4.107053947448731,5.082592964172363,7.162895011901854
long_propeller,e-SAF combustion (propeller),1.0,1500,0.0,7.996832143465678,1.4353603541655404,0.1794911195351766,6.1358971118927,7.729096174240112,10.845296669006347
