scenario,metrica,area_robusta_%,accordo_metriche_%,Battery-electric (fan) %,Battery-electric (propeller) %,Hydrogen fuel cell (fan) %,Hydrogen fuel cell (propeller) %,Hydrogen combustion (fan) %,Hydrogen combustion (propeller) %,e-SAF combustion (fan) %,e-SAF combustion (propeller) %
attuale,co2,82.72222222222221,88.26773205017189,0.0,0.0,0.0,0.0,0.0,0.0,62.0,20.72222222222222
attuale,primaria,62.16666666666667,88.26773205017189,0.0,0.5,0.0,0.0,0.0,0.0,61.5,0.16666666666666669
2035,co2,44.72222222222222,37.82873172498646,0.0,1.5555555555555556,0.0,0.05555555555555555,0.0,0.0,43.111111111111114,0.0
2035,primaria,2.944444444444444,37.82873172498646,0.0,1.3333333333333335,0.0,1.6111111111111112,0.0,0.0,0.0,0.0
2050,co2,65.94444444444446,99.98462961824416,0.0,1.6666666666666667,0.0,1.9444444444444444,62.33333333333333,0.0,0.0,0.0
2050,primaria,66.0,99.98462961824416,0.0,1.6666666666666667,0.0,1.9444444444444444,62.38888888888889,0.0,0.0,0.0
