parametro,categoria,min_campione,media_campione,max_campione,nominale,min_dichiarato,max_dichiarato,media_dichiarata,ks_p,fuori_supporto
eta_grid,dichiarata,0.5774069204879848,0.7013399697618768,0.8863540793428851,0.6199628022,0.5773672055,0.8865248227,0.7013372695140001,1.0,False
gco2_grid,dichiarata,29.13793546763719,69.36710193286598,97.79115619868669,85.1,29.1,97.8,69.36766666666668,1.0,False
eta_lh2,dichiarata,0.40800710795451084,0.463664638903083,0.5387217841998245,0.4378,0.40799025,0.538794,0.4636636108333334,1.0,False
gco2_lh2,dichiarata,67.24669689261961,112.56031271979535,145.52030934097704,129.02795,67.20345,145.5304,112.56093849999999,1.0,False
eta_saf,dichiarata,0.3671607049252943,0.3753657712212222,0.38829194476181733,0.3690775,0.367158,0.388303625,0.37536557375,1.0,False
gco2_saf,dichiarata,66.34901965828503,124.5195088823636,165.60328937273064,147.291225,66.294175,165.616075,124.52032566666666,1.0,False
