sample_idx,cost,theta_pax_weight_kg,theta_fan_pressure_ratio,theta_fan_scaling_mach_ref,theta_propeller_curve_peak_mach,theta_propeller_curve_rise_rate,theta_propeller_curve_decay_width
0,1.7905499248823844,99.75408911493804,1.410718255332156,0.7905557131853325,0.5416497520854671,13.695780094641199,0.059858523466536334
1,2.834232775577627,98.1731800926727,1.5037067625859755,0.8170611946250598,0.5097309739136432,6.459776219668818,0.05965998356899897
2,1.945359103515018,97.67142778717024,1.3965741603606174,0.836624892411875,0.571167365165691,17.61220523161648,0.025204751232678506
3,1.9234913756907135,101.42010086432839,1.4766894328194702,0.786418801762302,0.4618781357508525,17.10999406337796,0.06922611686293056
4,1.2800496175263998,79.40215384466556,1.4973154080611435,0.8289580195304495,0.5446202874699183,13.09597168702328,0.045664097244342394
5,1.4352888802604982,91.71993465980829,1.3229402769644005,0.8442450543244648,0.591364177674897,18.44521196851629,0.06272413854874664
6,3.487937961033163,104.29654249392351,1.5242277628041414,0.8393884616953883,0.5102346330720493,10.691642705253905,0.041706068783653544
7,1.1930722165468306,85.9662170999094,1.3211665522193623,0.8440822586669963,0.56341664588472,15.087159263609701,0.07530426087713189
8,1.3047014197011413,92.94574795396926,1.3035541838963087,0.8023034903118476,0.5127264094583551,17.795185273653786,0.02989364859179117
9,1.021507713852267,78.39499164881836,1.4512962430133276,0.8053928476244334,0.4904430551359457,18.997654036686512,0.045127687872193616
10,1.9542937745609512,99.48178634448054,1.4145450371738872,0.8207673647286806,0.5810012950142102,19.360551955800773,0.07355196803073226
11,2.3693688306689253,103.22340145366809,1.3648764471722374,0.8416254442288222,0.5111834175708064,17.62005633777269,0.0656724370726816
12,1.1995504422920693,85.15367886853585,1.4453011352376577,0.8171175007293042,0.5495036215706273,19.975069679821978,0.036446029420968584
13,1.0300074977605331,75.04815316897519,1.3420134988715173,0.8312906958980828,0.5000175386595677,17.036706031759707,0.020937285285795717
14,1.4623087534902686,93.53275603245194,1.4305816379107053,0.8058460219998541,0.5039410191047008,18.216327601050075,0.025881625909297542
15,2.411402128559639,104.39421772821413,1.436200801845252,0.8189898970558652,0.5275970453986463,19.2380282074399,0.04746825673892233
16,2.5668410418100875,100.4125537079633,1.4992756842796544,0.8302117704511099,0.5140976643925869,10.417280018114287,0.029334605762482164
17,0.9610814540726063,78.78659435826384,1.3096769117460054,0.817315137088094,0.4752819159838857,18.74083587075654,0.06410041389610412
